"gene_id","aqp_family_subfamily","subfamilia_phylo","fuente_seq","needs_reannotation","GreenFruit_1","GreenFruit_2","GreenFruit_3","RedFruit_1","RedFruit_2","RedFruit_3","Crown_1","Crown_2","Crown_3","LeafCtrl_1","LeafCtrl_2","LeafCtrl_3","RootsCtrl_1","RootsCtrl_3","AuxBud_1"
"Fxa3Ag03208","FaPIP2","PIP","GFF3",FALSE,25.9254637617027,19.5644348225962,17.8768111044206,3.84122919685693,2.12601261916327,2.34158693177142,91.6169518935446,70.4648785104641,64.5043892015043,22.281409887963,20.2937207330886,22.7944469328794,410.851067605823,271.309736413433,8.5065476321264
"Fxa3Ag03414","FaTIP1","TIP","GFF3",FALSE,1.02275671783949,0.767102885769337,1.06844557186436,0,0.0718893993878644,0,1.32041122005525,2.58096641299757,1.85688459391791,2.83173231463751,1.59936904790283,1.40640188959876,180.36284862687,136.210531170688,3.5986295113406
"Fxa3Bg00729","FaNIP1","NIP","GFF3",FALSE,3.01415786840851,4.02819658516417,3.20605815082054,0.371124042632342,0.107858369642022,0,2.12256708616001,0.815225469232112,0.803640517260738,3.54046207693255,1.04982217129813,2.11007764935074,12.7109728084257,8.7409383207865,3.8483368761139
"Fxa3Bg00730","FaNIP1","NIP","GFF3",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245959295734246,0
"Fxa3Bg03093","FaPIP2","PIP","GFF3",FALSE,156.408567121875,131.196526358215,144.41366959549,14.3680674999955,9.24860463232781,7.41972236054997,50.3822341560543,40.3456483251297,35.9581357276168,32.6324144995657,33.1819061431369,31.5207826887009,565.598609765171,387.991910575858,8.33021462188218
"Fxa3Bg03276","FaTIP1","TIP","GFF3",FALSE,2.83126921973341,2.4254997327322,2.33586285040328,1.68556516372655,1.71454288486406,0.236049352257574,7.81038027877899,15.5238289123734,13.9813802262636,4.62747049325398,2.5164789230904,2.25168269136268,197.827251006288,171.979667563274,7.07610849541821
"Fxa3Cg00714","FaNIP1","NIP","GFF3",FALSE,0.129860881545106,0.371891479020974,0.189926884854609,0.125630790203085,0,0,5.47671363113051,3.07873974582853,1.96778345535775,0.615228455416621,0.236919868296005,0.486114999795981,21.5550146739037,12.3632915756593,0
"Fxa3Cg00715","FaNIP1","NIP","GFF3",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fxa3Cg03061","FaPIP2","PIP","GFF3",FALSE,83.1921272398333,69.0655603896095,75.0663402044406,5.72068776817621,3.87935738925313,3.07887038461296,56.333907521377,45.8145795510199,43.1302767720981,17.3782063705344,13.1680908941307,17.2372410641942,380.577541486971,245.645873317396,6.80523810570112
"Fxa3Cg03258","FaTIP1","TIP","GFF3",FALSE,0.875073325775644,0.696113130841896,1.13762734264516,1.48149516748921,0.645841962694749,0.0790365905432668,1.25527477472416,2.50853043786568,2.85161211395784,1.94724353895239,0.731726906799208,1.09190251526501,206.571616055623,180.145626715027,3.59216297133819
