"gene_id","aqp_family_subfamily","subfamilia_phylo","crown","green_fruit","leaf","red_fruit","roots","aux_bud"
"Fxa3Dg02998","FaTIP1","TIP",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"Fxa4Ag01484","FaNIP7","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa4Ag03283","FaNIP4","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa4Bg01616","FaNIP7","NIP",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa4Bg03148","FaNIP4","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa4Cg01442","FaNIP7","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa4Cg03033","FaNIP4","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa4Dg01302","FaNIP7","NIP",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Fxa4Dg02771","FaNIP4","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa5Ag00335","FaPIP1","PIP",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"Fxa5Ag01079","FaNIP5","NIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa5Ag02048","FaTIP3","TIP",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Fxa5Ag02099","FaTIP2","TIP",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Fxa5Ag03930","FaNIP1","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa5Bg00282","FaPIP1","PIP",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Fxa5Bg01013","FaNIP5","NIP",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"Fxa5Bg01989","FaTIP3","TIP",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa5Bg02045","FaTIP2","TIP",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Fxa5Bg03706","FaNIP1","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa5Cg00258","FaPIP1","PIP",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"Fxa5Cg00895","FaNIP5","NIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa5Cg01763","FaTIP3","TIP",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"Fxa5Cg01808","FaTIP2","TIP",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Fxa5Cg03343","FaNIP1","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa5Dg00262","FaPIP1","PIP",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"Fxa5Dg01809","FaTIP3","TIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa5Dg01850","FaTIP2","TIP",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"Fxa6Ag00070","FaSIP1","SIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa6Ag00747","FaNIP1","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa6Ag00748","FaNIP1","NIP",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"Fxa6Ag01549","FaPIP2","PIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa6Ag01550","FaPIP2","PIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa6Ag01681","FaTIP1","TIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa6Ag02836","FaNIP6","NIP",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Fxa6Ag03173","FaTIP2","TIP",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
