"homeolog_group","tissue","subgenome","family","sub_subfamily","mean_proportion","sd_proportion","mean_tpm"
"HG-06","red_fruit","D","PIP","PIP2;7",0.86436707971053,0.0556928233973861,33.6179423777637
"HG-06","roots","A","PIP","PIP2;7",0.232133341852226,0.00337344281145455,24.9595198627678
"HG-06","roots","B","PIP","PIP2;7",0.52090119260221,0.0205966093315336,55.6849527419484
"HG-06","roots","D","PIP","PIP2;7",0.246965465545564,0.0172231665200791,26.71092656365
"HG-07","aux_bud","A","NIP","NIP1;1",0.426202205502286,NA,3.59178533129555
"HG-07","aux_bud","B","NIP","NIP1;1",0.455098973580563,NA,3.83531055562677
"HG-07","aux_bud","C","NIP","NIP1;1",0,NA,0
"HG-07","aux_bud","D","NIP","NIP1;1",0.118698820917151,NA,1.00032491223233
"HG-07","crown","A","NIP","NIP1;1",0.270395379375765,0.0473589299070562,2.28775677998418
"HG-07","crown","B","NIP","NIP1;1",0.134288951387424,0.0268362043524561,1.2466968235455
"HG-07","crown","C","NIP","NIP1;1",0.386404364242609,0.0708000863656015,3.50648306658019
"HG-07","crown","D","NIP","NIP1;1",0.208911304994202,0.073981350867176,1.79403749671293
"HG-07","green_fruit","A","NIP","NIP1;1",0.255187397098291,0.046904289293095,2.76659040791192
"HG-07","green_fruit","B","NIP","NIP1;1",0.3139391388858,0.0511285143282264,3.41577806899171
"HG-07","green_fruit","C","NIP","NIP1;1",0.02122130351304,0.0115463778649564,0.230529469973724
"HG-07","green_fruit","D","NIP","NIP1;1",0.409652160502869,0.0924618405433618,4.48273344318346
"HG-07","leaf","A","NIP","NIP1;1",0.423518683608084,0.10194889904297,4.09462689696123
"HG-07","leaf","B","NIP","NIP1;1",0.207374322786794,0.03202921312098,2.23243249746624
"HG-07","leaf","C","NIP","NIP1;1",0.0429071331778736,0.00252420456354966,0.445883972286256
"HG-07","leaf","D","NIP","NIP1;1",0.326199860427249,0.0765236617293618,3.56108566424877
"HG-07","red_fruit","A","NIP","NIP1;1",0.110815144033792,0.0971578991697062,0.159597823802639
"HG-07","red_fruit","B","NIP","NIP1;1",0.110265669232778,0.130918281728468,0.159633118786474
"HG-07","red_fruit","C","NIP","NIP1;1",0.0287688521047537,0.0498291135208683,0.0418686815735135
"HG-07","red_fruit","D","NIP","NIP1;1",0.750150334628677,0.26207453811041,1.2898730181746
"HG-07","roots","A","NIP","NIP1;1",0.234466972408188,0.0266091383179073,16.0130752517128
"HG-07","roots","B","NIP","NIP1;1",0.160372470789335,0.00556054937534687,10.7173312811185
"HG-07","roots","C","NIP","NIP1;1",0.248841472639522,0.0232600366438786,16.9454473653831
"HG-07","roots","D","NIP","NIP1;1",0.356319084162954,0.044308625586439,23.4954164697068
"HG-08","green_fruit","A","NIP","NIP1;1",1,NA,0.0905949245871703
"HG-08","green_fruit","B","NIP","NIP1;1",0,NA,0
"HG-08","green_fruit","C","NIP","NIP1;1",0,NA,0
"HG-08","green_fruit","D","NIP","NIP1;1",0,NA,0
"HG-08","roots","A","NIP","NIP1;1",0,NA,0
"HG-08","roots","B","NIP","NIP1;1",1,NA,0.245775456855938
"HG-08","roots","C","NIP","NIP1;1",0,NA,0
"HG-08","roots","D","NIP","NIP1;1",0,NA,0
"HG-09","aux_bud","A","PIP","PIP2;2",0.221362924177017,NA,8.47775363116902
"HG-09","aux_bud","B","PIP","PIP2;2",0.21677427171016,NA,8.30201749442571
"HG-09","aux_bud","C","PIP","PIP2;2",0.177090339341614,NA,6.78220290493522
"HG-09","aux_bud","D","PIP","PIP2;2",0.38477246477121,NA,14.7360095305728
"HG-09","crown","A","PIP","PIP2;2",0.276608200356663,0.00977681709385875,75.5017321724344
"HG-09","crown","B","PIP","PIP2;2",0.154852964152365,0.00448226031428244,42.2135700037058
"HG-09","crown","C","PIP","PIP2;2",0.178115204297664,0.00141814924183496,48.4089519560232
"HG-09","crown","D","PIP","PIP2;2",0.390423631193308,0.0122643265997563,105.860859438817
"HG-09","green_fruit","A","PIP","PIP2;2",0.0549043314721822,0.00801064257329498,21.1201369407264
"HG-09","green_fruit","B","PIP","PIP2;2",0.375417311010764,0.00367337917286966,143.993368093578
"HG-09","green_fruit","C","PIP","PIP2;2",0.197486309525896,0.00315860555427967,75.7678394280999
"HG-09","green_fruit","D","PIP","PIP2;2",0.372192047991158,0.0127682376707723,142.882099891347
"HG-09","leaf","A","PIP","PIP2;2",0.202372285643815,0.0130642184860571,21.7799929870673
"HG-09","leaf","B","PIP","PIP2;2",0.301889208874236,0.02462499055545,32.4303758229246
"HG-09","leaf","C","PIP","PIP2;2",0.147368551217909,0.0167600871444775,15.9206168315363
"HG-09","leaf","D","PIP","PIP2;2",0.34836995426404,0.0311960563714476,37.7100028229167
"HG-09","red_fruit","A","PIP","PIP2;2",0.135872726660576,0.0162993421578593,2.76913619770797
"HG-09","red_fruit","B","PIP","PIP2;2",0.503527278700974,0.0198000628044998,10.3437433290487
"HG-09","red_fruit","C","PIP","PIP2;2",0.206860141114396,0.00950627800109926,4.22560540395092
"HG-09","red_fruit","D","PIP","PIP2;2",0.153739853524054,0.0120614098814367,3.12053387523591
"HG-09","roots","A","PIP","PIP2;2",0.223494191925488,0.00393748813752455,340.805836166952
"HG-09","roots","B","PIP","PIP2;2",0.313568575102702,0.00291628447145541,476.411862466098
"HG-09","roots","C","PIP","PIP2;2",0.204718786434137,0.00691030581279538,312.859492809405
"HG-09","roots","D","PIP","PIP2;2",0.258218446537673,0.00793150947886458,391.171793641021
"HG-10","aux_bud","A","TIP","TIP1;7",0.105594167798336,NA,3.58644843082758
"HG-10","aux_bud","B","TIP","TIP1;7",0.20763342974589,NA,7.05215641948765
"HG-10","aux_bud","C","TIP","TIP1;7",0.105404420866084,NA,3.58000377955925
"HG-10","aux_bud","D","TIP","TIP1;7",0.581367981589689,NA,19.7458470366257
"HG-10","crown","A","TIP","TIP1;7",0.066832747071992,0.00242919759841581,1.91873483999822
"HG-10","crown","B","TIP","TIP1;7",0.432561462417077,0.0505865498465394,12.4341032432129
"HG-10","crown","C","TIP","TIP1;7",0.0766865055234536,0.0200579393966629,2.20435788711797
"HG-10","crown","D","TIP","TIP1;7",0.423919284987477,0.0692855539980965,12.0021980111125
"HG-10","green_fruit","A","TIP","TIP1;7",0.0648447295873858,0.0162644645152345,0.952694302252703
"HG-10","green_fruit","B","TIP","TIP1;7",0.170707328287061,0.0260066090240365,2.53063351933247
"HG-10","green_fruit","C","TIP","TIP1;7",0.0616265963014705,0.0198136048492867,0.902876480112701
"HG-10","green_fruit","D","TIP","TIP1;7",0.702821345824082,0.0541719604718986,10.5441805093054
"HG-10","leaf","A","TIP","TIP1;7",0.163648108637933,0.00306466176746528,1.94495179367789
"HG-10","leaf","B","TIP","TIP1;7",0.262265375665622,0.00412573361677904,3.13045618894214
"HG-10","leaf","C","TIP","TIP1;7",0.104482638155083,0.0251668459275443,1.25638429382708
"HG-10","leaf","D","TIP","TIP1;7",0.469603877541363,0.0209396136514243,5.56181920804258
"HG-10","red_fruit","A","TIP","TIP1;7",0.00858463505659567,0.0148690240824606,0.0239609212595171
"HG-10","red_fruit","B","TIP","TIP1;7",0.487137845752546,0.110122255037775,1.21187334312318
"HG-10","red_fruit","C","TIP","TIP1;7",0.247830331637665,0.113880806016531,0.735335508093465
"HG-10","red_fruit","D","TIP","TIP1;7",0.256447187553193,0.155526458920011,0.481176437898581
"HG-10","roots","A","TIP","TIP1;7",0.23785981733741,0.00916364702139219,158.159763162307
"HG-10","roots","B","TIP","TIP1;7",0.280069849911266,0.0170711721040597,184.755803781939
"HG-10","roots","C","TIP","TIP1;7",0.292928629438944,0.018503337668596,193.204228392315
"HG-10","roots","D","TIP","TIP1;7",0.189141703312379,0.0264108627512636,126.775147354124
"HG-11","crown","B","NIP","NIP7;1",0.864873555419082,0.198262981043433,1.43667477342082
"HG-11","crown","C","NIP","NIP7;1",0.135126444580918,0.198262981043433,0.184026483662728
"HG-11","crown","D","NIP","NIP7;1",0,0,0
"HG-11","green_fruit","B","NIP","NIP7;1",0.0162322816643804,0.0281151365654756,0.0294743761499355
"HG-11","green_fruit","C","NIP","NIP7;1",0,0,0
"HG-11","green_fruit","D","NIP","NIP7;1",0.98376771833562,0.0281151365654756,1.45456585844081
"HG-11","roots","B","NIP","NIP7;1",1,NA,0.101760920001684
"HG-11","roots","C","NIP","NIP7;1",0,NA,0
"HG-11","roots","D","NIP","NIP7;1",0,NA,0
"HG-13","aux_bud","A","PIP","PIP1;3",0.284022033570301,NA,33.4191312081919
"HG-13","aux_bud","B","PIP","PIP1;3",0.247096647087981,NA,29.074347388945
"HG-13","aux_bud","C","PIP","PIP1;3",0.231985783653363,NA,27.296344740902
"HG-13","aux_bud","D","PIP","PIP1;3",0.236895535688355,NA,27.8740451586988
"HG-13","crown","A","PIP","PIP1;3",0.496757947005375,0.0618434489825532,1.48516162598769
"HG-13","crown","B","PIP","PIP1;3",0.05532925042807,0.021266143432613,0.161301750486176
"HG-13","crown","C","PIP","PIP1;3",0.401814989757052,0.113757321379512,1.24946940664133
"HG-13","crown","D","PIP","PIP1;3",0.046097812809504,0.0312139821505686,0.130224747165354
"HG-13","green_fruit","A","PIP","PIP1;3",0.20661783495496,0.0610073305058985,2.74053490036427
"HG-13","green_fruit","B","PIP","PIP1;3",0.367624622738905,0.0242611081176321,4.98255724308561
"HG-13","green_fruit","C","PIP","PIP1;3",0.245500819519166,0.0636269086787098,3.30169392563973
"HG-13","green_fruit","D","PIP","PIP1;3",0.180256722786969,0.0259677923732765,2.31881270332655
"HG-13","leaf","A","PIP","PIP1;3",0.463750840643897,0.0385274662601198,152.96328849068
"HG-13","leaf","B","PIP","PIP1;3",0.122517177727892,0.0141704524601941,40.7155777133731
"HG-13","leaf","C","PIP","PIP1;3",0.230987751387385,0.0115762534080347,76.6477699691401
"HG-13","leaf","D","PIP","PIP1;3",0.182744230240826,0.0169012081423287,60.5807429070004
"HG-13","red_fruit","A","PIP","PIP1;3",0,0,0
"HG-13","red_fruit","B","PIP","PIP1;3",0.572575171031007,0.379897432286626,0.545501691414982
"HG-13","red_fruit","C","PIP","PIP1;3",0.427424828968994,0.379897432286626,0.564950000258688
"HG-13","red_fruit","D","PIP","PIP1;3",0,0,0
"HG-13","roots","A","PIP","PIP1;3",0.380889948231247,0.00919713306146952,6.00366875932035
"HG-13","roots","B","PIP","PIP1;3",0.1808702540892,0.0271824156007571,2.7855609500391
"HG-13","roots","C","PIP","PIP1;3",0.390979369578572,0.0242355649771205,6.25916760271795
"HG-13","roots","D","PIP","PIP1;3",0.0472604281009811,0.0121439836851061,0.782984846121273
"HG-14","aux_bud","A","NIP","NIP5;1",0.330735626177231,NA,16.7194677180828
"HG-14","aux_bud","B","NIP","NIP5;1",0.453699174846457,NA,22.9355657727094
"HG-14","aux_bud","C","NIP","NIP5;1",0.215565198976312,NA,10.8973303755767
"HG-14","crown","A","NIP","NIP5;1",0.235854059101215,0.00667177228691591,50.4620662954489
"HG-14","crown","B","NIP","NIP5;1",0.491852984408951,0.00667015929841895,104.961814656728
"HG-14","crown","C","NIP","NIP5;1",0.272292956489834,0.00393343073614856,58.0197655364629
"HG-14","green_fruit","A","NIP","NIP5;1",0.445463829570298,0.0479267069552182,29.2742501766216
"HG-14","green_fruit","B","NIP","NIP5;1",0.28143499735734,0.034657777939977,18.3237072594733
"HG-14","green_fruit","C","NIP","NIP5;1",0.273101173072362,0.0366943121612005,17.648446328273
"HG-14","leaf","A","NIP","NIP5;1",0.349033086616383,0.0409475259985899,2.36516428423817
"HG-14","leaf","B","NIP","NIP5;1",0.337369600245451,0.0175343956232096,2.27262353926058
"HG-14","leaf","C","NIP","NIP5;1",0.313597313138166,0.0494006081380568,2.04192537904957
"HG-14","red_fruit","A","NIP","NIP5;1",0.839487672939446,0.0127059523210718,23.3738967476306
"HG-14","red_fruit","B","NIP","NIP5;1",0.023523247878586,0.0127356864790512,0.662687761181211
"HG-14","red_fruit","C","NIP","NIP5;1",0.136989079181968,0.00590040971690351,3.7904242446884
"HG-14","roots","A","NIP","NIP5;1",0.429309790848085,0.00619029286110439,91.693850957981
"HG-14","roots","B","NIP","NIP5;1",0.369468570403911,0.00366244123293441,78.5692252758556
"HG-14","roots","C","NIP","NIP5;1",0.201221638748004,0.00252785162816994,42.7703538062682
"HG-15","aux_bud","A","TIP","TIP3;1",0.147435599490758,NA,0.796320789054894
"HG-15","aux_bud","B","TIP","TIP3;1",0.351407927144448,NA,1.89800454429157
"HG-15","aux_bud","C","TIP","TIP3;1",0,NA,0
"HG-15","aux_bud","D","TIP","TIP3;1",0.501156473364794,NA,2.70681788990071
"HG-15","crown","A","TIP","TIP3;1",0.0742995126719628,0.023796093829518,0.531869451963938
"HG-15","crown","B","TIP","TIP3;1",0.0420434667361039,0.055505252696116,0.245543307281705
"HG-15","crown","C","TIP","TIP3;1",0.0409411847590021,0.00434452074241618,0.284437458923441
"HG-15","crown","D","TIP","TIP3;1",0.842715835832931,0.0376211802923161,5.79389385147482
"HG-15","green_fruit","A","TIP","TIP3;1",0.168995501238127,0.0100294417616725,129.736869314819
"HG-15","green_fruit","B","TIP","TIP3;1",0.277180386378946,0.0160225081548998,206.777112353258
"HG-15","green_fruit","C","TIP","TIP3;1",0.208248040885084,0.00901756571411697,157.835959737115
"HG-15","green_fruit","D","TIP","TIP3;1",0.345576071497842,0.016115408159711,260.304213912758
"HG-15","leaf","A","TIP","TIP3;1",0.238322781155373,0.0217335793655916,2.21981243515698
"HG-15","leaf","B","TIP","TIP3;1",0.212197044430284,0.0957432949142698,2.13993273081093
"HG-15","leaf","C","TIP","TIP3;1",0.0841017626163363,0.062489201470238,0.707312666935111
"HG-15","leaf","D","TIP","TIP3;1",0.465378411798007,0.0550817605089359,4.29936032567527
"HG-15","red_fruit","A","TIP","TIP3;1",0.148435896441837,0.0422442545572795,29.5871304480663
"HG-15","red_fruit","B","TIP","TIP3;1",0.27429110736734,0.0306506778938175,51.3249432247527
"HG-15","red_fruit","C","TIP","TIP3;1",0.176188478126249,0.00553106424825196,30.3686298965479
"HG-15","red_fruit","D","TIP","TIP3;1",0.401084518064574,0.0657519062929776,64.1834249359241
"HG-15","roots","A","TIP","TIP3;1",0.158730775001333,0.0270565097673822,1.19152129149696
"HG-15","roots","B","TIP","TIP3;1",0.156761885069375,0.0517737492718113,1.16413052377829
"HG-15","roots","C","TIP","TIP3;1",0.0716475660722399,0.00772398021535855,0.547862193915719
"HG-15","roots","D","TIP","TIP3;1",0.612859773857053,0.0711062788238349,4.68884537446407
"HG-16","aux_bud","A","TIP","TIP2;3",0.250470416056868,NA,0.0709435450307031
"HG-16","aux_bud","B","TIP","TIP2;3",0,NA,0
"HG-16","aux_bud","C","TIP","TIP2;3",0,NA,0
"HG-16","aux_bud","D","TIP","TIP2;3",0.749529583943132,NA,0.212297670229608
"HG-16","crown","A","TIP","TIP2;3",0.169829425248866,0.103443567999743,0.237478440005602
"HG-16","crown","B","TIP","TIP2;3",0.120549917093666,0.123170133666019,0.117344719841131
"HG-16","crown","C","TIP","TIP2;3",0.281488364538216,0.149237722442333,0.387540041737142
"HG-16","crown","D","TIP","TIP2;3",0.428132293119252,0.12965833038456,0.498344734553825
"HG-16","green_fruit","A","TIP","TIP2;3",0.00345404495798305,0.00147345660301887,0.110562771708134
"HG-16","green_fruit","B","TIP","TIP2;3",0.00401109870221533,0.00202050950660102,0.130256904229007
"HG-16","green_fruit","C","TIP","TIP2;3",0.00505060785456104,0.00504970534100777,0.176698169057449
"HG-16","green_fruit","D","TIP","TIP2;3",0.987484248485241,0.001686295969548,32.6769112615929
"HG-16","leaf","A","TIP","TIP2;3",0.198997085120794,0.110371517630782,0.458528185907489
"HG-16","leaf","B","TIP","TIP2;3",0.135480054085493,0.0248717419274406,0.314582112462617
"HG-16","leaf","C","TIP","TIP2;3",0.265651648797481,0.104649271255583,0.625796916321191
"HG-16","leaf","D","TIP","TIP2;3",0.399871211996232,0.0571606423741879,0.941456744507847
"HG-16","red_fruit","A","TIP","TIP2;3",0.000513115178062842,0.000179051912873603,0.090605153697043
"HG-16","red_fruit","B","TIP","TIP2;3",0.00177615344337265,0.0010723757642065,0.295324428083583
"HG-16","red_fruit","C","TIP","TIP2;3",0,0,0
"HG-16","red_fruit","D","TIP","TIP2;3",0.997710731378565,0.00106165485237592,177.312960383748
"HG-16","roots","A","TIP","TIP2;3",0.204107925834385,0.00064033549026788,233.487930445016
